01/09/2021;41966
02/09/2021;40106
03/09/2021;45195
04/09/2021;48653
05/09/2021;43209
06/09/2021;29068
07/09/2021;24702
08/09/2021;27095
09/09/2021;33834
10/09/2021;39629
11/09/2021;44820
12/09/2021;45579
13/09/2021;40297
14/09/2021;32915
15/09/2021;37418
16/09/2021;38353
17/09/2021;45439
18/09/2021;50208
19/09/2021;45618
20/09/2021;41583
21/09/2021;32283
22/09/2021;38288
23/09/2021;41218
24/09/2021;48945
25/09/2021;47017
26/09/2021;43444
27/09/2021;33690
28/09/2021;38077
29/09/2021;42268
30/09/2021;38899
